note, length, volume
0, 2.9, 5
58, 0.56, 84
57, 0.56, 57
60, 1.0, 47
55, 0.37, 58
53, 0.93, 61
58, 0.37, 62
60, 0.28, 65
62, 0.37, 71
63, 0.28, 78
65, 0.37, 68
62, 0.33, 65
63, 0.33, 43
60, 0.42, 18
53, 0.42, 53
58, 1.1, 63
57, 0.37, 63
55, 0.33, 60
53, 0.93, 43
60, 0.37, 62
62, 0.32, 70
63, 0.28, 67
60, 0.37, 70
65, 0.93, 77
63, 0.23, 66
62, 0.28, 57
60, 0.28, 46
58, 0.28, 70
57, 0.37, 73
58, 0.6, 26
0, 1.9, 6
62, 0.46, 74
58, 0.28, 70
55, 0.28, 64
52, 0.37, 63
62, 0.28, 74
58, 0.28, 67
55, 0.28, 74
57, 0.37, 64
53, 0.46, 60
65, 1.3, 57
53, 0.42, 60
55, 0.23, 69
57, 0.33, 72
58, 0.33, 49
60, 0.14, 66
62, 0.28, 71
63, 0.23, 79
65, 0.37, 64
62, 0.28, 59
59, 0.93, 64
65, 0.88, 71
62, 0.14, 64
59, 0.37, 59
55, 0.51, 21
0, 1.2, 12
65, 0.28, 83
63, 0.23, 73
62, 0.23, 62
60, 0.42, 63
62, 0.09, 81
59, 0.37, 66
55, 0.37, 48
60, 0.46, 33
55, 0.37, 60
53, 1.0, 42
60, 0.42, 59
58, 0.37, 77
57, 0.79, 62
60, 0.79, 45
55, 0.28, 55
53, 0.23, 42
60, 0.33, 63
62, 0.33, 53
60, 0.65, 55
63, 0.42, 67
62, 0.46, 26
0, 1.7, 8
62, 0.28, 79
63, 0.23, 83
65, 0.23, 76
67, 0.28, 84
65, 0.6, 44
53, 0.84, 63
65, 0.33, 67
63, 0.7, 30
53, 0.51, 41
63, 0.23, 59
62, 0.65, 28
53, 0.93, 43
55, 0.6, 65
57, 0.56, 75
58, 0.46, 69
60, 0.51, 62
62, 0.14, 74
63, 0.28, 79
65, 0.23, 74
63, 0.23, 69
62, 0.65, 34
0, 1.5, 6
53, 0.42, 60
62, 0.28, 64
60, 0.65, 30
53, 0.37, 43
50, 0.42, 57
58, 0.42, 49
51, 0.37, 39
60, 0.42, 41
53, 0.6, 63
58, 0.7, 35
0, 2.8, 5
62, 0.37, 75
58, 0.33, 72
55, 0.28, 68
52, 0.37, 54
60, 0.23, 75
59, 0.33, 61
60, 0.28, 59
57, 0.33, 75
58, 0.28, 68
55, 0.37, 60
53, 0.84, 32
0, 0.33, 52
65, 0.28, 81
64, 0.33, 73
62, 0.23, 61
60, 0.37, 67
62, 0.09, 80
58, 0.33, 67
55, 0.37, 55
54, 0.7, 22
0, 0.79, 17
62, 0.14, 74
63, 0.32, 74
62, 0.65, 63
54, 0.42, 64
55, 0.37, 68
65, 0.42, 82
64, 0.6, 19
0, 1.2, 2
55, 0.46, 71
57, 0.14, 79
58, 0.33, 66
60, 0.28, 66
62, 0.09, 81
58, 0.37, 72
55, 0.37, 30
60, 0.7, 22
48, 0.93, 10
0, 1.1, 10
53, 0.33, 64
52, 0.74, 64
55, 0.65, 61
50, 0.23, 41
48, 0.33, 45
55, 0.23, 74
57, 0.28, 69
55, 0.51, 70
58, 0.28, 69
57, 0.65, 25
0, 0.6, 31
57, 0.32, 85
58, 0.23, 70
60, 0.51, 65
58, 0.28, 72
65, 0.7, 57
58, 0.51, 74
57, 0.28, 70
65, 0.6, 31
0, 1.6, 5
57, 0.93, 73
55, 0.23, 54
60, 0.33, 60
57, 0.28, 81
58, 0.28, 69
55, 0.42, 39
48, 0.88, 43
53, 0.23, 69
52, 0.33, 67
55, 0.51, 53
48, 0.23, 63
57, 0.33, 71
55, 0.23, 75
58, 0.51, 27
0, 0.6, 19
52, 0.37, 63
60, 0.28, 76
58, 0.33, 82
65, 0.46, 59
57, 0.37, 67
55, 0.6, 24
0, 1.0, 21
62, 0.09, 73
60, 0.7, 66
57, 0.32, 59
53, 0.37, 49
48, 0.98, 30
0, 0.37, 38
60, 0.28, 66
57, 0.28, 57
53, 0.23, 64
52, 0.65, 30
0, 1.2, 15
60, 0.28, 71
57, 0.32, 70
53, 0.23, 65
52, 0.33, 55
60, 0.37, 43
53, 0.28, 74
58, 0.51, 36
48, 0.42, 61
57, 0.33, 70
55, 0.37, 63
52, 0.7, 64
53, 0.56, 58
55, 0.14, 75
57, 0.23, 70
58, 0.28, 62
60, 0.23, 70
62, 0.28, 72
63, 0.23, 58
60, 0.51, 57
59, 0.37, 67
62, 0.46, 23
0, 1.9, 8
55, 0.28, 81
57, 0.28, 77
59, 0.23, 67
60, 0.19, 76
62, 0.14, 77
63, 0.05, 73
62, 0.84, 61
57, 0.33, 68
60, 0.7, 67
58, 0.33, 77
57, 0.19, 64
55, 0.28, 62
53, 0.28, 66
55, 0.28, 54
50, 0.74, 55
53, 0.28, 51
51, 0.28, 60
55, 0.28, 60
53, 0.28, 68
58, 0.28, 73
57, 0.28, 47
60, 0.42, 44
55, 0.19, 61
53, 0.42, 68
58, 0.32, 69
60, 0.23, 77
62, 0.23, 60
60, 0.23, 72
63, 0.23, 73
62, 0.28, 62
60, 0.37, 34
53, 0.33, 55
58, 0.6, 25
0, 0.93, 17
57, 0.33, 75
55, 0.23, 69
53, 0.37, 55
60, 0.46, 75
62, 0.42, 72
63, 0.05, 73
60, 0.28, 80
65, 1.3, 77
63, 0.05, 71
62, 0.37, 61
60, 0.14, 74
58, 0.19, 72
57, 0.33, 67
58, 0.46, 21
0, 1.4, 7
62, 0.37, 87
58, 0.33, 71
55, 0.09, 69
52, 0.33, 66
62, 0.33, 73
58, 0.05, 76
55, 0.14, 74
57, 0.37, 70
53, 0.46, 16
0, 0.14, 70
65, 1.2, 71
53, 0.37, 66
55, 0.09, 82
57, 0.33, 76
58, 0.19, 63
60, 0.19, 73
62, 0.19, 75
63, 0.19, 66
65, 0.09, 61
62, 0.19, 66
59, 0.46, 23
0, 0.7, 29
65, 0.33, 81
59, 0.42, 67
55, 0.23, 61
65, 0.37, 78
62, 0.46, 63
60, 0.14, 67
59, 0.33, 68
55, 0.28, 55
60, 0.56, 27
55, 0.19, 33
53, 0.42, 13
0, 1.8, 7
60, 0.33, 68
58, 0.19, 83
57, 0.88, 65
60, 0.7, 54
55, 0.28, 61
53, 0.19, 53
60, 1.0, 59
63, 0.09, 75
62, 0.56, 33
0, 0.84, 17
62, 0.33, 80
63, 0.09, 87
65, 1.1, 71
53, 0.42, 53
65, 0.19, 67
63, 0.51, 54
53, 0.33, 51
62, 0.6, 36
53, 0.56, 49
55, 0.37, 70
57, 0.42, 79
58, 0.46, 67
60, 0.46, 75
62, 0.19, 88
63, 0.09, 94
65, 0.33, 81
63, 0.09, 79
62, 0.65, 37
0, 0.74, 22
53, 0.33, 68
62, 0.19, 67
60, 0.65, 24
53, 0.09, 11
50, 0.46, 50
58, 0.37, 34
51, 0.28, 53
60, 0.46, 6
